20230424_F4_PCT-C3-SO3Na 2 mgml_H2SO4 0p05 N - RawData
Wavelength nm.,Abs.
1743.00,0.187
1744.00,0.188
1745.00,0.188
1746.00,0.188
1747.00,0.188
1748.00,0.188
1749.00,0.189
1750.00,0.189
1751.00,0.190
1752.00,0.191
1753.00,0.191
1754.00,0.192
1755.00,0.192
1756.00,0.192
1757.00,0.193
1758.00,0.193
1759.00,0.194
1760.00,0.194
1761.00,0.194
1762.00,0.195
1763.00,0.195
1764.00,0.195
1765.00,0.195
1766.00,0.195
1767.00,0.196
1768.00,0.197
1769.00,0.198
1770.00,0.198
1771.00,0.199
1772.00,0.199
1773.00,0.199
1774.00,0.200
1775.00,0.199
1776.00,0.200
1777.00,0.201
1778.00,0.200
1779.00,0.201
1780.00,0.202
1781.00,0.202
1782.00,0.203
1783.00,0.202
1784.00,0.202
1785.00,0.202
1786.00,0.202
1787.00,0.202
1788.00,0.203
1789.00,0.205
1790.00,0.205
1791.00,0.204
1792.00,0.205
1793.00,0.206
1794.00,0.205
1795.00,0.206
1796.00,0.207
1797.00,0.207
1798.00,0.207
1799.00,0.207
1800.00,0.208
1801.00,0.208
1802.00,0.208
1803.00,0.208
1804.00,0.209
1805.00,0.209
1806.00,0.208
